,Total Population,Median Household Income,Black and Latino/Hispanic,Bachelors Degree or Higher,Associates Degree,Masters Degree,White and Latino/Hispanic,state,county,tract,geometry,building_count,buildings_cat
42,4044,66667,0,950,56,754,82,42,101,007900,"POLYGON ((-75.22332721719181 39.94801365248529, -75.22322521655958 39.9484726515805, -75.2230732155056 39.94921265014831, -75.22291221442619 39.94997664865553, -75.22274821332302 39.950755647129256, -75.22258721223737 39.95152064562603, -75.22243221114178 39.95228164413901, -75.22227721004613 39.95304164264919, -75.22128321288837 39.95292364035293, -75.22029321574605 39.952793638088735, -75.21934821844367 39.9526856359075, -75.21834522134168 39.95255463362144, -75.21634822709849 39.952303629068595, -75.21437123280711 39.952054624580015, -75.21286423715233 39.951870621161014, -75.21239123851764 39.95181262009037, -75.21255423964855 39.95105562172716, -75.2127142407956 39.95029362336033, -75.21294524257733 39.94913062581259, -75.21291824278079 39.94906662585142, -75.21348824138096 39.949010627317456, -75.21398224017854 39.94895662859588, -75.2144482390174 39.94891862978027, -75.2150212376367 39.9488486312727, -75.21604123515974 39.94873263391228, -75.2171192325365 39.94861163669483, -75.21911122767402 39.948392641817264, -75.21923222739787 39.94836964214256, -75.22123522247418 39.948162647256595, -75.22264121905859 39.94799465087033, -75.22331321740046 39.947926652576825, -75.22332721719181 39.94801365248529))",0,0
43,3900,60163,52,911,115,447,29,42,101,008000,"POLYGON ((-75.23126419617383 39.94793667158859, -75.23126019614837 39.94795567155444, -75.23116119548226 39.948444670683855, -75.23109419508417 39.948747670129926, -75.2310641948557 39.9489096698475, -75.23095719413116 39.94943966890085, -75.23079119317333 39.950173667543105, -75.23063319216176 39.950923666179634, -75.23032119002085 39.952476663380274, -75.23020318933763 39.95299666240543, -75.23010918870328 39.953457661565785, -75.22999718796422 39.95399766057552, -75.22820119308935 39.95377565638075, -75.22672319732439 39.95358665294818, -75.22622219874731 39.95352965177715, -75.22424120441292 39.95328664718189, -75.22227721004613 39.95304164264919, -75.22243221114178 39.95228164413901, -75.22258721223737 39.95152064562603, -75.22274821332302 39.950755647129256, -75.22291221442619 39.94997664865553, -75.2230732155056 39.94921265014831, -75.22322521655958 39.9484726515805, -75.22332721719181 39.94801365248529, -75.22331321740046 39.947926652576825, -75.22494421340402 39.94774565673426, -75.22523421263199 39.94774465742861, -75.22539721216965 39.947758657798495, -75.2261112102603 39.94776065950197, -75.22741720675369 39.94777166260798, -75.22762320620396 39.947771663100305, -75.22859520360042 39.947776665416626, -75.22907520231568 39.94777866656117, -75.22944720131915 39.947780667447624, -75.2298922001087 39.9477926684954, -75.23030019900088 39.94780266945753, -75.2312871963311 39.94782167179239, -75.23126419617383 39.94793667158859))",0,0
44,3258,41537,9,369,156,128,0,42,101,008101,"POLYGON ((-75.23995617577656 39.946411694121714, -75.2398511751989 39.94688169333809, -75.2397451745115 39.94741269248073, -75.23963917384147 39.947933691632755, -75.2395461732347 39.948400690875815, -75.23942817257463 39.94893268998254, -75.23932117188428 39.94946468911362, -75.2392711716138 39.949684688739744, -75.23923017128259 39.94992468836432, -75.23911617062545 39.95044768748488, -75.23844617255266 39.95036368594903, -75.23788417417093 39.950292684662955, -75.23716817623097 39.950203683024824, -75.23646917824517 39.95011568142914, -75.23582718009641 39.950034679965746, -75.23516318200495 39.949954678449565, -75.23311118791216 39.94970567377837, -75.23236619005442 39.94961767208395, -75.23165519210572 39.94953067047295, -75.23095719413116 39.94943966890085, -75.2310641948557 39.9489096698475, -75.23109419508417 39.948747670129926, -75.23116119548226 39.948444670683855, -75.23126019614837 39.94795567155444, -75.23126419617383 39.94793667158859, -75.2312871963311 39.94782167179239, -75.23170119525491 39.94780667280149, -75.23360219103654 39.94735267791424, -75.23435918934553 39.947175679936834, -75.23504718784615 39.94699368179677, -75.23582018607054 39.94683668382356, -75.23591518589444 39.946794684099814, -75.2361351854171 39.946734684694086, -75.23726918288033 39.94646468770312, -75.23797918122106 39.946332689537996, -75.23872617948483 39.94618769147195, -75.23933817804674 39.946076693044525, -75.24005017642489 39.94591869490373, -75.23995617577656 39.946411694121714))",0,0
45,4786,39157,93,430,226,104,69,42,101,008102,"POLYGON ((-75.23900716999265 39.95094968663976, -75.23891316941483 39.95139968588961, -75.23879416872944 39.95194368496751, -75.23868116800327 39.95250068404283, -75.23858216741952 39.952959683264524, -75.23847416673348 39.953486682383016, -75.23836616603909 39.9540176814948, -75.23827016543945 39.954479680715195, -75.23816416473434 39.95501267982578, -75.23621417026358 39.95477267519943, -75.2349431738729 39.95461567219381, -75.2342101759606 39.95452267046675, -75.23310117911443 39.95438566785379, -75.23215118182692 39.954263665625774, -75.23125018440761 39.954144663520786, -75.22999718796422 39.95399766057552, -75.23010918870328 39.953457661565785, -75.23020318933763 39.95299666240543, -75.23032119002085 39.952476663380274, -75.23063319216176 39.950923666179634, -75.23079119317333 39.950173667543105, -75.23095719413116 39.94943966890085, -75.23165519210572 39.94953067047295, -75.23236619005442 39.94961767208395, -75.23311118791216 39.94970567377837, -75.23516318200495 39.949954678449565, -75.23582718009641 39.950034679965746, -75.23646917824517 39.95011568142914, -75.23716817623097 39.950203683024824, -75.23788417417093 39.950292684662955, -75.23844617255266 39.95036368594903, -75.23911617062545 39.95044768748488, -75.23900716999265 39.95094968663976))",0,0
46,6202,30182,133,560,348,257,146,42,101,008200,"POLYGON ((-75.25164514327712 39.95184770871732, -75.25164114308323 39.95195570862441, -75.25161014285469 39.9520467086126, -75.25157514263194 39.95212870861893, -75.25150914228277 39.95224170867036, -75.25140814180943 39.95237870878306, -75.25127914122284 39.952542708937294, -75.2511841407865 39.95266570904867, -75.25115014055811 39.952751709048584, -75.25115014038805 39.952850708954415, -75.25117714029078 39.952944708800146, -75.25120414020392 39.95303270865161, -75.25118014004723 39.95309070865408, -75.25114713984496 39.953162708664856, -75.25109813961306 39.95322970871879, -75.25104513937148 39.953296708782275, -75.25091913890559 39.95339270899338, -75.25081413851004 39.9534767091654, -75.25072113830687 39.95346570939909, -75.24873814039773 39.953170708282045, -75.24759814364808 39.95302270559418, -75.24670214619002 39.95291470347743, -75.24471715182332 39.952677698798084, -75.24275215742469 39.952433694192806, -75.2420601593831 39.95235669256531, -75.24147116107332 39.95227869119541, -75.24077616305412 39.95219468957208, -75.23879416872944 39.95194368496751, -75.23891316941483 39.95139968588961, -75.23900716999265 39.95094968663976, -75.23911617062545 39.95044768748488, -75.23923017128259 39.94992468836432, -75.2392711716138 39.949684688739744, -75.23932117188428 39.94946468911362, -75.23942817257463 39.94893268998254, -75.2395461732347 39.948400690875815, -75.23963917384147 39.947933691632755, -75.2397451745115 39.94741269248073, -75.2398511751989 39.94688169333809, -75.23995617577656 39.946411694121714, -75.24005017642489 39.94591869490373, -75.24026417594347 39.94586769546572, -75.24176917293342 39.94529869963911, -75.24341516959709 39.94469170415164, -75.244439167476 39.944334706918944, -75.2452161658715 39.944058709015266, -75.24585116458849 39.9438157107407, -75.24663216296106 39.94354271282891, -75.2469161623555 39.94345071357899, -75.24702616211974 39.94341571386861, -75.2470391619715 39.94347971383409, -75.24704616186074 39.94353171379781, -75.24704916180315 39.94355971377651, -75.2470741616331 39.943617713775865, -75.2471041614372 39.9436827137798, -75.24718916087909 39.9438687137895, -75.24720616076785 39.943905713791715, -75.2473001603269 39.94401171390334, -75.2473751598986 39.94413971394913, -75.2473951597212 39.94420971392544, -75.24741915951182 39.94429171389907, -75.24746415928463 39.94435171394371, -75.24750615907438 39.94440671398646, -75.24763315852398 39.944524714164466, -75.24764515851275 39.94451271420442, -75.2477651579674 39.94463871435867, -75.24790515734378 39.944778714546274, -75.24809815656722 39.94492471485257, -75.24817415620973 39.9450117149443, -75.24822015592781 39.94510171496305, -75.24823815565459 39.94522971487882, -75.24832515522041 39.94534371497038, -75.2484191547711 39.94545571508069, -75.24846815458498 39.945486715165266, -75.24850515444167 39.94551171522761, -75.24856715420314 39.945552715333015, -75.24871115361113 39.945669715556875, -75.24890015282328 39.94582971584534, -75.24908215205649 39.945988716119366, -75.24924715132532 39.946153716348476, -75.24942915055776 39.9463137166236, -75.24949515030403 39.946357716737154, -75.24955615008115 39.94639171684862, -75.24961614988545 39.94641171697128, -75.24971214955666 39.94645271715896, -75.24981214914577 39.94653471731694, -75.24991914869712 39.94662771748128, -75.24996814842483 39.94670871751993, -75.25003614824732 39.94681371739855, -75.25011614815288 39.94697171705359, -75.25015414799186 39.94711371682585, -75.25019614788354 39.94723071661231, -75.25020314787332 39.94724571658102, -75.2502151477737 39.947318716482236, -75.25022814768332 39.94738771638487, -75.2502331476547 39.94741071635079, -75.25026914744817 39.947576716105104, -75.25030614728405 39.947719715878996, -75.25033614713021 39.947847715684176, -75.2503631469628 39.94797971549285, -75.25041314687913 39.94809371526305, -75.25047114686245 39.948179715040624, -75.25055414692552 39.94825271477014, -75.25071914708468 39.94837871425079, -75.25065914684389 39.94843871433877, -75.2509901470845 39.94873871325246, -75.25112314716779 39.94886771280813, -75.25124914727515 39.94897371240272, -75.25137414740301 39.94906671201219, -75.25144014742811 39.94914071178237, -75.25149414736076 39.94925271154548, -75.25151014704869 39.94945671131308, -75.2514661466049 39.949656711229366, -75.25136614602937 39.94985771127981, -75.25126814557088 39.94999271138803, -75.25120714515823 39.950150711385, -75.25116314481565 39.950290711358, -75.25112514446958 39.95044071130698, -75.2511281442051 39.95059871114945, -75.25112014400774 39.95070271106981, -75.2511551439537 39.9507817109103, -75.25125414386225 39.950969710492934, -75.2513381438924 39.951066710198326, -75.2514161439328 39.95114970993155, -75.2514821440155 39.95119170973266, -75.25153214408476 39.95121970958562, -75.25157814408315 39.95128370941406, -75.25160414396986 39.951385709254595, -75.2516071438368 39.95146770916953, -75.25160714377871 39.95150170913725, -75.25162414360513 39.95162670897765, -75.25164414344381 39.95174870881369, -75.25164514327712 39.95184770871732))",0,0
47,4751,33478,0,402,310,49,0,42,101,008301,"POLYGON ((-75.25088112910814 39.959025703720954, -75.2508481288963 39.95910070372803, -75.25075012855434 39.95915670390779, -75.25060312804098 39.95924070417732, -75.25045212752578 39.95931970446106, -75.25028912697995 39.95939870477322, -75.25007812630265 39.95948370519366, -75.24982412639014 39.95957470484393, -75.2496501267218 39.959640704327505, -75.24955012690349 39.959683704025636, -75.24944112706106 39.95975370367408, -75.24931612722985 39.959840703264085, -75.24921112735589 39.959922702910724, -75.24912012746864 39.959991702606246, -75.24897012771152 39.96007270213574, -75.24883512795603 39.96013070172647, -75.2486871282127 39.96020070127118, -75.24854412845637 39.96027070082857, -75.24845712856698 39.96033470053807, -75.24838112860019 39.96042670024859, -75.24833312856333 39.96051770003321, -75.24828012851465 39.96062269979075, -75.24819612854691 39.960726699467735, -75.24805612862203 39.96088769894089, -75.24797312863902 39.960998698612734, -75.2479201286197 39.96108669838601, -75.24789012852746 39.961182698211715, -75.24787012829705 39.96134269800003, -75.24787012814046 39.961431697911564, -75.24786512804239 39.961494697835754, -75.24783912789758 39.961614697647825, -75.24782112780798 39.9616916975237, -75.24780512771679 39.9617666974068, -75.2477721276742 39.96183869724789, -75.24773912764033 39.96190569709388, -75.24770512759844 39.96197869693117, -75.24770012747207 39.96205769683916, -75.24772412721553 39.9621686967921, -75.24776012702179 39.962226696829724, -75.24777412684887 39.962304696789175, -75.24775012664765 39.96245369657709, -75.247713126372 39.962663696269516, -75.24768612616768 39.962818696043136, -75.24761112637404 39.962809695852506, -75.24719212754249 39.96275069479667, -75.24675112874071 39.96270669366802, -75.24598613085321 39.962611691731006, -75.24540113247191 39.962537690252944, -75.24470713438818 39.96245268849857, -75.24402913626837 39.96236568679092, -75.2434241379422 39.9622906852661, -75.2433541381347 39.96228268508904, -75.24273313985734 39.96220368352798, -75.24289614082986 39.961433684794585, -75.24305214177673 39.96068668601343, -75.24320714274396 39.959928687237316, -75.24336914369657 39.95916768847836, -75.24349214446013 39.958566689442556, -75.24360614514511 39.958021690320926, -75.24372914584524 39.95745469124367, -75.24385514668887 39.9568026922622, -75.24392414707665 39.956486692774995, -75.24397314735289 39.956261693139304, -75.24408214799621 39.95574469396578, -75.24424214893718 39.95498669517433, -75.2444081498622 39.9542276963946, -75.24456215083794 39.95345669759304, -75.24471715182332 39.952677698798084, -75.24670214619002 39.95291470347743, -75.24759814364808 39.95302270559418, -75.24873814039773 39.953170708282045, -75.25072113830687 39.95346570939909, -75.25081413851004 39.9534767091654, -75.2507871384076 39.953498709209256, -75.2506461378685 39.95361570943614, -75.2504851372705 39.953738709705156, -75.25035013673227 39.95386270991071, -75.25013413585818 39.95406771023301, -75.25004513549658 39.954152710365214, -75.25000113524985 39.954233710393304, -75.24995113519479 39.95433171018895, -75.24988513528359 39.95437970997743, -75.24983513532185 39.95443270980117, -75.2497971353078 39.954497709643434, -75.24976513526238 39.95457170949204, -75.24974413519517 39.95464170937206, -75.24975813504356 39.95470770934391, -75.24976413493204 39.95476270930621, -75.2497481348605 39.95482770920355, -75.24969213474674 39.95497670891937, -75.24961113460029 39.95518170851792, -75.24959413454165 39.95524070841821, -75.24955413455686 39.95529170826807, -75.24949213461011 39.95535370805167, -75.24942013474694 39.955382707841714, -75.24935513487426 39.95540670765422, -75.24927813505725 39.95541670744989, -75.24923213515252 39.95543070732003, -75.24919713518072 39.955466707196614, -75.24916113518876 39.95551570705801, -75.24914113514289 39.955571706953044, -75.24912013504715 39.95565770681635, -75.24913213484108 39.95575770674962, -75.24917213457273 39.95585170675976, -75.24921513431414 39.95593570678735, -75.24926013400673 39.95604470679593, -75.24927213383576 39.9561247067489, -75.24923213377713 39.95621770655712, -75.24911113389894 39.956327706142595, -75.24904313399495 39.956373705924825, -75.24898513404925 39.95642870572363, -75.24895413397394 39.956517705557985, -75.2489241338557 39.95662970537235, -75.24894413359733 39.95674770530835, -75.24900413316014 39.95690870530474, -75.24906213292068 39.95695970540333, -75.24919113249216 39.95701370568065, -75.24931213208272 39.95706870593679, -75.2493981317675 39.95712170610556, -75.24943713161767 39.957149706178306, -75.24949713139081 39.95719070629232, -75.24953013126351 39.957214706353675, -75.24957513106855 39.957259706425546, -75.2496251308502 39.957310706504536, -75.24968313062342 39.95735470661085, -75.24977613025739 39.957426706780126, -75.25003512937607 39.95765570704237, -75.25017512948436 39.957792706577784, -75.25024012950472 39.95787370634553, -75.25035712954848 39.958015705931196, -75.25046012962217 39.958120705585635, -75.2505571296676 39.95823370524681, -75.2506641297677 39.95832970490046, -75.25073312977017 39.95842770464277, -75.25079112973688 39.95853070440655, -75.25083712966355 39.95863970419324, -75.25087312959823 39.95872970402184, -75.25087912947536 39.95880970393138, -75.25088912926944 39.95894370378001, -75.25088112910814 39.959025703720954))",0,0
48,4586,24497,42,146,195,95,44,42,101,008302,"POLYGON ((-75.24456215083794 39.95345669759304, -75.2444081498622 39.9542276963946, -75.24424214893718 39.95498669517433, -75.24408214799621 39.95574469396578, -75.24397314735289 39.956261693139304, -75.24392414707665 39.956486692774995, -75.24385514668887 39.9568026922622, -75.24372914584524 39.95745469124367, -75.24360614514511 39.958021690320926, -75.24349214446013 39.958566689442556, -75.24336914369657 39.95916768847836, -75.24320714274396 39.959928687237316, -75.24305214177673 39.96068668601343, -75.24289614082986 39.961433684794585, -75.24273313985734 39.96220368352798, -75.24199114190698 39.96211468165914, -75.24140314354014 39.96203968018483, -75.24076014531963 39.961961678569935, -75.24002114736646 39.96187167671658, -75.23944514897337 39.961795675280385, -75.23878315080576 39.96171667362205, -75.23894515180982 39.960944674941835, -75.23909815278711 39.96019867620362, -75.239255153776 39.95943967748662, -75.23941615475806 39.958677678779104, -75.23957215569968 39.95794368002228, -75.23965615622927 39.957535680704545, -75.23973815675977 39.95712968137818, -75.23982115729443 39.95671968205771, -75.23990715781157 39.95631468273797, -75.23997515819772 39.956006683261045, -75.24000515835723 39.955876683484895, -75.24002115851104 39.955769683647, -75.24013515915655 39.95525368452092, -75.23816416473434 39.95501267982578, -75.23827016543945 39.954479680715195, -75.23836616603909 39.9540176814948, -75.23847416673348 39.953486682383016, -75.23858216741952 39.952959683264524, -75.23868116800327 39.95250068404283, -75.23879416872944 39.95194368496751, -75.24077616305412 39.95219468957208, -75.24147116107332 39.95227869119541, -75.2420601593831 39.95235669256531, -75.24275215742469 39.952433694192806, -75.24471715182332 39.952677698798084, -75.24456215083794 39.95345669759304))",0,0
49,4864,43839,43,269,192,207,1,42,101,008400,"POLYGON ((-75.24002115851104 39.955769683647, -75.24000515835723 39.955876683484895, -75.23997515819772 39.956006683261045, -75.23990715781157 39.95631468273797, -75.23982115729443 39.95671968205771, -75.23973815675977 39.95712968137818, -75.23965615622927 39.957535680704545, -75.23957215569968 39.95794368002228, -75.23941615475806 39.958677678779104, -75.239255153776 39.95943967748662, -75.23909815278711 39.96019867620362, -75.23894515180982 39.960944674941835, -75.23878315080576 39.96171667362205, -75.23680615629833 39.96147266869047, -75.23486716169462 39.96123266387144, -75.23414016372935 39.96113766207518, -75.23355016536816 39.96106766061037, -75.23285516731374 39.96097765889632, -75.23187217006496 39.960851656474176, -75.2311861719749 39.96076965477883, -75.23079917305229 39.96072365382297, -75.23095817410773 39.959955655238154, -75.23111217512829 39.95921165660482, -75.2312751761579 39.95844965801388, -75.23143717718416 39.95768965941331, -75.23155517799194 39.95710366047163, -75.23167117875056 39.95654566148633, -75.2317981795516 39.955949662575414, -75.23190918027923 39.955413663544405, -75.23193518038782 39.95532066372934, -75.23199518080197 39.955019664266416, -75.23204318112775 39.95478166469202, -75.23215118182692 39.954263665625774, -75.23310117911443 39.95438566785379, -75.2342101759606 39.95452267046675, -75.2349431738729 39.95461567219381, -75.23621417026358 39.95477267519943, -75.23816416473434 39.95501267982578, -75.24013515915655 39.95525368452092, -75.24002115851104 39.955769683647))",0,0
50,6272,38610,171,681,232,178,19,42,101,008500,"POLYGON ((-75.23204318112775 39.95478166469202, -75.23199518080197 39.955019664266416, -75.23193518038782 39.95532066372934, -75.23190918027923 39.955413663544405, -75.2317981795516 39.955949662575414, -75.23167117875056 39.95654566148633, -75.23155517799194 39.95710366047163, -75.23143717718416 39.95768965941331, -75.2312751761579 39.95844965801388, -75.23111217512829 39.95921165660482, -75.23095817410773 39.959955655238154, -75.23079917305229 39.96072365382297, -75.23024517459545 39.96065765245594, -75.22981317580404 39.96060365139423, -75.22975617596329 39.960596651254036, -75.22929317725168 39.96054265011203, -75.22923317741677 39.96053664996278, -75.22864317906537 39.96046464851326, -75.22797418094403 39.9603786468774, -75.2274411824366 39.96031264557214, -75.22684918409257 39.96024064412211, -75.22620718589297 39.960160642553994, -75.22486618963082 39.96000663926606, -75.22477018993565 39.95997663905775, -75.22421019152074 39.95990063770395, -75.22388219243473 39.959863636901, -75.22289819518974 39.959746634503446, -75.22239319661423 39.95968163328182, -75.22190719796869 39.95962763209476, -75.22091820074849 39.959506629698495, -75.2210832018636 39.958732631271644, -75.22124220293838 39.95798563278491, -75.22139520404653 39.95722863429325, -75.22149120458603 39.956831635122846, -75.22155720514719 39.95646263583354, -75.22168420602145 39.955855637047456, -75.22179620679077 39.95532063811523, -75.22192120764598 39.95472463930278, -75.22203420844019 39.954174640390384, -75.22205420852848 39.95410364054418, -75.22213520914207 39.953686641355354, -75.22218920953893 39.95341464188672, -75.22227721004613 39.95304164264919, -75.22424120441292 39.95328664718189, -75.22622219874731 39.95352965177715, -75.22672319732439 39.95358665294818, -75.22820119308935 39.95377565638075, -75.22999718796422 39.95399766057552, -75.23125018440761 39.954144663520786, -75.23215118182692 39.954263665625774, -75.23204318112775 39.95478166469202))",0,0
51,3355,52019,92,915,35,521,78,42,101,008601,"POLYGON ((-75.22218920953893 39.95341464188672, -75.22213520914207 39.953686641355354, -75.22205420852848 39.95410364054418, -75.22203420844019 39.954174640390384, -75.22192120764598 39.95472463930278, -75.22179620679077 39.95532063811523, -75.22080620960968 39.95519963579362, -75.21982121241962 39.95507763349044, -75.21887121513633 39.95495763127678, -75.2178762179764 39.95483562895699, -75.21587022371267 39.95458762429667, -75.21488022654596 39.95446562200271, -75.2146412248346 39.95560861958046, -75.21365322766148 39.955483617280855, -75.21276923018468 39.955375615220824, -75.21167523331023 39.95524161267677, -75.2117642339614 39.95481461360439, -75.21191423505189 39.95409761516031, -75.21203923595819 39.95350061645312, -75.21208023625144 39.95330661687358, -75.2121572367763 39.952954617642256, -75.21216823691053 39.95287561779905, -75.2122772376933 39.9523576189175, -75.21229323781218 39.95227961908472, -75.21239123851764 39.95181262009037, -75.21286423715233 39.951870621161014, -75.21437123280711 39.952054624580015, -75.21634822709849 39.952303629068595, -75.21834522134168 39.95255463362144, -75.21934821844367 39.9526856359075, -75.22029321574605 39.952793638088735, -75.22128321288837 39.95292364035293, -75.22227721004613 39.95304164264919, -75.22218920953893 39.95341464188672))",1,1
52,3126,31776,41,450,328,321,19,42,101,008602,"POLYGON ((-75.22168420602145 39.955855637047456, -75.22155720514719 39.95646263583354, -75.22149120458603 39.956831635122846, -75.22139520404653 39.95722863429325, -75.22124220293838 39.95798563278491, -75.2210832018636 39.958732631271644, -75.22091820074849 39.959506629698495, -75.21998120339272 39.959387627438744, -75.2191732056652 39.95928962548635, -75.21895220628939 39.95926162495465, -75.21700021180249 39.9590166202645, -75.21401622024095 39.95864461312407, -75.21301522307637 39.958519610738094, -75.2113402278171 39.958314606748786, -75.21103722867512 39.95827760602833, -75.21120522983783 39.957507607737035, -75.21133923085858 39.95684760917237, -75.21135423099784 39.95676160935288, -75.21145523165954 39.95631561034734, -75.21151723214858 39.95600161102338, -75.2115902326832 39.955651611785946, -75.21167523331023 39.95524161267677, -75.21276923018468 39.955375615220824, -75.21365322766148 39.955483617280855, -75.2146412248346 39.95560861958046, -75.21488022654596 39.95446562200271, -75.21587022371267 39.95458762429667, -75.2178762179764 39.95483562895699, -75.21887121513633 39.95495763127678, -75.21982121241962 39.95507763349044, -75.22080620960968 39.95519963579362, -75.22179620679077 39.95532063811523, -75.22168420602145 39.955855637047456))",2,1
53,3318,50197,0,562,104,770,143,42,101,008701,"POLYGON ((-75.21294524257733 39.94913062581259, -75.2127142407956 39.95029362336033, -75.21255423964855 39.95105562172716, -75.21239123851764 39.95181262009037, -75.21229323781218 39.95227961908472, -75.2122772376933 39.9523576189175, -75.21216823691053 39.95287561779905, -75.2121572367763 39.952954617642256, -75.21208023625144 39.95330661687358, -75.21203923595819 39.95350061645312, -75.21191423505189 39.95409761516031, -75.2117642339614 39.95481461360439, -75.21167523331023 39.95524161267677, -75.2115902326832 39.955651611785946, -75.21151723214858 39.95600161102338, -75.21145523165954 39.95631561034734, -75.21135423099784 39.95676160935288, -75.21133923085858 39.95684760917237, -75.21120522983783 39.957507607737035, -75.21103722867512 39.95827760602833, -75.209589232789 39.95809560259967, -75.20941923326941 39.95807560219545, -75.2081262369398 39.957916599136794, -75.20827723817146 39.9571436008465, -75.20835623872817 39.95678060166858, -75.20844023930707 39.956400602531346, -75.20859824049552 39.955637604233225, -75.20864824083883 39.955411604744576, -75.20875924165944 39.9548816059264, -75.20899724343775 39.95373460847122, -75.20923724517272 39.95260361098408, -75.20926224527419 39.95252361118131, -75.2092952464137 39.95193661225548, -75.20932424737963 39.95143761317039, -75.2093372474623 39.95138161329696, -75.20930124906756 39.95065861443091, -75.20928024958894 39.950435614756714, -75.20926625079596 39.9498756156697, -75.20923825141554 39.94961461604326, -75.20925725151555 39.9495426162111, -75.21045624872491 39.9493546194289, -75.2112572468199 39.949247621543265, -75.21209024479126 39.94915862370228, -75.21291824278079 39.94906662585142, -75.21294524257733 39.94913062581259))",2,1
54,2601,31172,16,650,7,342,122,42,101,008702,"POLYGON ((-75.20932424737963 39.95143761317039, -75.2092952464137 39.95193661225548, -75.20926224527419 39.95252361118131, -75.20923724517272 39.95260361098408, -75.20899724343775 39.95373460847122, -75.20875924165944 39.9548816059264, -75.20864824083883 39.955411604744576, -75.20859824049552 39.955637604233225, -75.20844023930707 39.956400602531346, -75.20835623872817 39.95678060166858, -75.20827723817146 39.9571436008465, -75.2081262369398 39.957916599136794, -75.20694224030893 39.957768596346654, -75.2060732427823 39.95766059430177, -75.20503424573923 39.957532591859305, -75.20414324827513 39.95742358976721, -75.20430524950606 39.956649591561025, -75.20446325068134 39.95590559328681, -75.20477224979525 39.95594459400158, -75.20493125100226 39.95518259575346, -75.20509025220721 39.95442059750096, -75.20516625273311 39.9540795982937, -75.2052462533394 39.95369559917134, -75.20533225399309 39.95328160011568, -75.20545825493161 39.952683601481866, -75.20557125579064 39.95213860272006, -75.20558125593611 39.95205760288714, -75.20569725678182 39.95151460412671, -75.20580025762901 39.950986605305886, -75.20581825764926 39.950954605406054, -75.20575726018605 39.949833607223724, -75.20642525846591 39.94980960888691, -75.20713625663147 39.94978561065385, -75.20804225430491 39.94974961291376, -75.20925725151555 39.9495426162111, -75.20923825141554 39.94961461604326, -75.20926625079596 39.9498756156697, -75.20928024958894 39.950435614756714, -75.20930124906756 39.95065861443091, -75.2093372474623 39.95138161329696, -75.20932424737963 39.95143761317039))",11,1
55,2073,41250,0,195,5,96,92,42,101,008801,"POLYGON ((-75.20065726881815 39.952093590671375, -75.20052326786593 39.9526965892256, -75.20025826612496 39.95382158648298, -75.20009626489717 39.954583584663155, -75.19993826366337 39.95534258285455, -75.19978426244319 39.95608958107414, -75.19962026119265 39.95686157921738, -75.19800526582722 39.95665557548276, -75.19611927121238 39.95643057110666, -75.1962912724712 39.95565557303699, -75.19644327371832 39.95490857485829, -75.19660127497201 39.95415057671165, -75.19676027622982 39.95338857857084, -75.19675927641032 39.95330757872363, -75.19682827695178 39.95297857952578, -75.19685127696827 39.952943579649954, -75.19700527804069 39.95227058131967, -75.1972412801556 39.95102258428463, -75.19732127992461 39.95103158446336, -75.19920227446356 39.951258588644414, -75.2007992698149 39.951459592191064, -75.20065726881815 39.952093590671375))",19,1
56,5956,17403,22,269,77,257,363,42,101,008802,"POLYGON ((-75.20580025762901 39.950986605305886, -75.20569725678182 39.95151460412671, -75.20558125593611 39.95205760288714, -75.20557125579064 39.95213860272006, -75.20545825493161 39.952683601481866, -75.20533225399309 39.95328160011568, -75.2052462533394 39.95369559917134, -75.20516625273311 39.9540795982937, -75.20509025220721 39.95442059750096, -75.20493125100226 39.95518259575346, -75.20477224979525 39.95594459400158, -75.20446325068134 39.95590559328681, -75.20430524950606 39.956649591561025, -75.20414324827513 39.95742358976721, -75.20340225039041 39.95733058803422, -75.20195125453134 39.9571505846441, -75.19962026119265 39.95686157921738, -75.19978426244319 39.95608958107414, -75.19993826366337 39.95534258285455, -75.20009626489717 39.954583584663155, -75.20025826612496 39.95382158648298, -75.20052326786593 39.9526965892256, -75.20065726881815 39.952093590671375, -75.2007992698149 39.951459592191064, -75.19920227446356 39.951258588644414, -75.19942527569638 39.95042059075765, -75.19951727588527 39.95022159135354, -75.19960527606493 39.95003159192224, -75.19964227625356 39.949899592258376, -75.19964627627768 39.94988359229793, -75.19966027647942 39.94977359253705, -75.19966227674553 39.94964859277499, -75.19965327701914 39.94953359296763, -75.19963027730599 39.949429593105926, -75.19959027767497 39.949308593234925, -75.19954327800832 39.949212593300516, -75.19973227716766 39.94936859346644, -75.199881276592 39.949451593672386, -75.20014527560521 39.949583594066354, -75.2009652728248 39.94986359553741, -75.2011022724746 39.949857595881035, -75.20119727227888 39.94983159615942, -75.2014082718683 39.949762596798045, -75.20301026864895 39.94928260155039, -75.20341326789959 39.94913260279409, -75.20376126725267 39.94900260386713, -75.20452326580863 39.94872960619031, -75.20503026487427 39.9485346077555, -75.20516526453824 39.948523608099414, -75.20565426423076 39.948054610098545, -75.20568026318841 39.9485136093548, -75.20574226076836 39.94957760763657, -75.20575726018605 39.949833607223724, -75.20581825764926 39.950954605406054, -75.20580025762901 39.950986605305886))",93,1
